Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
DNAdamageoutput_1Nov.root,N/A,N/A,22,2.700000000000001e-20,301220.0,/user/home/ms23570/work/DaRT_RBE/DNA_damage/geometryFiles/sugarPos_n2_300nm_H75nm_R11nm_33hist_50deg.bin,M,M
EventNum,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
34730,0.8239434334473071,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35528,0.14832003517889078,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36199,4.606546695082221,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36200,0.983364413376769,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36294,0.013313376890516797,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36295,0.14811798438144866,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36823,0.0829769833594712,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36824,6.5456184393436855e-06,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36825,0.2623659649900307,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36826,0.24367982237755983,N/A,N/A,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
36827,0.39615062460051964,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37463,0.6373593189305453,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
38103,0.3621806508341298,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
38521,0.11148063819818944,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39097,0.46911785743017426,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39261,0.5691077548276386,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39895,0.4107878764508464,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40504,0.52060057367524,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42882,0.576178922490696,N/A,N/A,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
42883,0.07769887321115718,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43129,0.1305986405323453,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43130,0.1313449454668343,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43131,5.207772475936601e-05,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44880,0.07384416850292073,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44881,0.4407034256839067,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45865,0.35697464350812985,N/A,N/A,1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
45866,0.0002712622710550847,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46516,281.95252530172786,N/A,N/A,1, 1, 0, 0, 7, 7, 0, 0, 8, 8, 0, 0
47485,0.8678181563402757,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
47604,2.556392098733457,N/A,N/A,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
48621,0.02465519149502539,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48622,0.1390551331046121,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49062,0.24912558494419285,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49220,0.9404239315387252,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49221,1.0221863367514552,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49480,0.6769899029292422,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49589,3.5642230744970516e-05,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49590,3.042666815171232e-05,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50007,4.8237387247210934e-05,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50090,0.4653191816134089,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50091,0.16857766230624877,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50092,0.10135681477019753,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50299,0.22161556711586022,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50300,0.13599676538056116,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50311,3.529646346197092,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51214,0.29473518654114644,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51215,0.013461281816846544,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51786,0.0054580011902166355,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51787,0.27874198847611864,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52027,0.18563971130999832,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52028,0.09692318276678337,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52173,282.7028536194591,N/A,N/A,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
52260,0.14208593730477093,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52261,0.6670486132329684,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53356,0.07903971477163746,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53357,3.389005768651729,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53514,0.06750785267942934,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53515,0.134128225019017,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53873,0.19250287044429154,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53960,29.822399118038675,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53961,118.62609122365927,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54241,321.63623082322437,N/A,N/A,6, 4, 1, 0, 12, 12, 0, 0, 18, 10, 4, 0
54244,1.475653226794022,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54245,6.514012945898015,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55000,119.78960573249296,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55001,137.18645964253326,N/A,N/A,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
55352,0.28760522006321504,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55353,0.5645671341404586,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55384,0.30940234175324866,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55648,1.3249243758949507,N/A,N/A,1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
55649,0.46233444390908535,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55801,0.07360028881556882,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55802,0.09041507749958531,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
56609,0.34977256983522736,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
56787,0.08914378722444954,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
56996,0.12858554128794386,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
57286,0.37713826155670305,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
57287,0.07722535229156961,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
57381,352.0345316023697,N/A,N/A,5, 1, 0, 2, 6, 6, 0, 0, 11, 5, 0, 2
